Fe^saa^tatv	fe-saa-Tatq
hlieqv-kou kou	Lia'g Kru Kru
Yaalaam	yaa-laam
Ki^li^yaatv	Ki-li-yaatq
Haalipv	haa-lipq
yiem	yem
#bienh	pyenb
Kaa^laau^ndi^atc	Kaa-laau-Di-atg
Aalutv	aa-lutq
Aa^mben Maa^im	aa-Ben-maa-im
Se^kun^ndatc	sej-Kun-Datg
huotv	Wrtq
Aanim	aa-nim
Si^me^aa	si-me-aa
sou-nzaangc	srub Ravg
Atc^taa^li^yaa	atg-Taa-li-yaa
Sifon	si-fon
Maa^li^yaa	maa-li-yaa
guenx	kwenj
Se^mbo^im	sej-Bo-im
Kaa^ndetc Mbaa^nie	Kaa-Detg-Baa-nia
Ye^kaa^mi^yaa	ye-Kaa-mi-yaa
Gaa^maa^li^en	kaa-maa-li-en
Musi	mu-si
Hufaam	hu-faam
O^ne^si^fo^latv	o-ne-si-fo-latq
Yaaletv	yaa-letq
Sumatv	su-matq
Mbetc Hakv^ke^lem	Betg-hakq-Ke-lem
La'maaqh	la'maa'b
Kitv	Kitq
Husaam	hu-saam
wuom-zingv-nqaai	uamb zivb Gaai
Maalotv	maa-lotq
Daa^ko^ni^ditc	taa-Ko-ni-titg
Lo^Lu^haa^maa	lo-lu-haa-maa
Aa^hi^hutv	aa-hi-hutq
Maaki	maa-Ki
Haamaan	haa-maan
Mikv^ne^yaa	mikq-ne-yaa
Ki^ndon	Ki-Don
Haalaan	haa-laan
Mikv^lotv	mikq-lotq
huon-huaa	Wrnb Waa
aah	aa'b
Laamam	laa-mam
Tikv^latv Bi^le^se	Tikq-latq-pi-le-sej
haaix zanc	haiq zang
Haanan	haa-nan
Ese	e-se
Taa^li^taa^ku^mi	Taa-li-Taa-Ku-mi
Selaa Ham^maa^le^kotv	se-laa-ham-maa-le-Kotq
Omaa	o-maa
Segupc	sej-kupg
Anlon Mbaakutv	an-lon-Baa-Kutq
wuonv	wrnq
Aa^hi^saa^makv	aa-hi-saa-makq
Sammotv	sam-motq
Aayin	aa-yin
Hakv^kotc	hakq-Kotg
Se^le^ndaa	sej-le-Daa
Aate	aa-Te
Utai	u-Tai
Mbaasaan	Baa-saan
Gi^ndom	ki-Dom
Ki^li^yaatv Ye^aa^lim	Ki-li-yaatq-ye-aa-lim
jiem-dieh	Jyemb tiab
I^li^yaa	i-li-yaa
ndenz-ndenz	Drnb Drnd
Semetv	se-metq
Sammaa	sam-maa
saah	saa'b
haaix laanh	haiq laanb
Seli	sej-li
Ikc^ndaa^li^yaa	ikg-Daa-li-yaa
yiemh	yemb
Mben^yaa^min	Ben-yaa-min
Aa^kuin^laa	aa-Kwin-laa
Taa^aa^natv Silo	Taa-aa-natq-si-lo
