Aa^bor^li^yon	อา^ปอ^ลิ^โยน
Aa^haa^laa	อา^หะ^ลา
Aa^haa^su^e^latv	อา^หะ^สุ^เอ^ลัด
Aa^haa^waa	อา^หะ^วา
Aa^hi	อา^หิ
Aa^hi^aa	อา^หิ^อา
Aa^hi^hutv	อา^หิ^ฮู้ด
Aa^hi^kam	อา^หิ^คัม
Aa^hi^laa	อา^หิ^ลา
Aa^hi^lam	อา^หิ^ลัม
Aa^hi^lutv	อา^หิ^ลู้ด
Aa^hi^maa^atc	อา^หิ^มา^อัด
Aa^hi^maan	อา^หิ^มาน
Aa^hi^me^lekv	อา^หิ^เม^เล้ก
Aa^hi^motv	อา^หิ^โม้ด
Aa^hi^naa^ndapc	อา^หิ^นา^ดับ
Aa^hi^no^am	อา^หิ^โน^อัม
Aa^hi^qaa	อา^หิ^ชา
Aa^hi^qaa^haa	อา^หิ^ชา^ฮา
Aa^hi^saa^makv	อา^หิ^สะ^มัก
Aa^hi^to^fen	อา^หิ^โท^เฟน
Aa^hi^tupv	อา^หิ^ทู้บ
Aa^hi^yaa	อา^หิ^ยา
Aa^hi^yam	อา^หิ^ยัม
Aa^hi^yan	อา^หิ^ยัน
Aa^hi^ye^se	อา^หิ^เย^เซ
Aa^hi^yo	อา^หิ^โย
Aa^hu^mai	อา^หุ^ไม
Aa^kuin^laa	อา^ควิน^ลา
Aa^laa^maa^getc^ndon	อา^ละ^มา^เกด^โดน
Aa^laa^mbie	อา^ละ^เบีย
Aa^le^okc	อา^เล^โอก
Aa^li^maa^tie	อา^ลิ^มา^เทีย
Aa^li^okc	อา^ลี^โอก
Aa^maa^li^yaa	อา^มา^ลิ^ยา
Aa^maa^si^yaa	อา^มา^ซิ^ยา
Aa^mben Maa^im	อา^เบน^มา^อิม
Aa^mben Mbetc Maa^aa^kaa	อา^เบน^เบด^มา^อะ^คา
Aa^mbi^hutv	อา^บี^ฮู้ด
Aa^mbi^tupv	อา^บี^ทู้บ
Aa^mbipc	อา^บีบ
Aa^mo^lai	อา^โม^ไล
Aa^naa^haa^laatv	อา^นา^หะ^ล้าด
Aa^naa^ni	อา^นา^นี
Aa^ndin	อา^ดีน
Aa^ndun^lam	อา^ดุน^ลัม
Aa^saa^li^yaa	อา^ซา^ลิ^ยา
Aa^saa^si^yaa	อา^ซา^ซิ^ยา
Aa^se^natv	อา^เส^นัด
Aa^si^en	อา^สิ^เอน
Aa^si^maa	อา^ซิ^มา
Aa^su^mbaa	อา^ซุ^บา
Aa^taa^li^yaa	อา^ทา^ลิ^ยา
Aa^taa^lotv	อา^ทา^โล้ด
Aa^taa^lotv Atc^ndaa	อา^ทา^โล้ด^อัด^ดา
Aafekv	อา^เฟ้ก
Aagakc	อา^กัก
Aagu	อา^กู
Aakitv	อา^คิด
Aalaa	อา^ลา
Aalaatv	อา^ล้าด
Aalam	อา^ลัม
Aalam Maa^aa^kaa	อา^ลัม^มา^อะ^คา
Aalam So^mbaa	อา^ลัม^โซ^บา
Aalan	อา^ลัน
Aalapc	อา^หลับ
Aalon	อา^โลน
Aalotv	อา^โล้ด
Aalutv	อา^ลู้ด
Aamam	อา^มัม
Aamen	อา^เมน
Aami	อา^มี
Aamon	อา^โมน
Aan^gopc	อาน^โกบ
Aan^taa^se^sitv	อาน^ทา^เซ^ซี้ด
Aanaa	อา^นา
Aanaakv	อา^น้าก
Aanaapv	อา^น้าบ
Aanem	อา^เนม
Aanim	อา^นิม
Aankaa	อาน^คา
Aanki	อาน^คี
Aannan	อาน^นัน
Aanni	อาน^นี
Aannon	อาน^โนน
Aanupv	อา^นู้บ
Aanwatv	อาน^วัด
Aaqan	อา^ชัน
Aasaapc	อา^สาบ
Aasaatv	อา^ซ้าด
Aasaax	อา^สา
Aase	อา^เซ
Aasen	อา^เซน
Aasor	อา^ซอ
Aataakv	อา^ท้าก
Aate	อา^เท
Aaten	อะ^เทน
Aawitv	อา^วี้ด
Aayin	อา^ยิน
Aiyaa	ไอ^ยา
Akc^kupc	อัก^ขูบ
Akc^sipv	อัก^ซี้บ
Am^fi^mbu^li	อัม^ฟี^บุ^ลี
Am^mi^hutv	อัม^มี^ฮู้ด
Am^mi^saa^mbaatc	อัม^มี^ซะ^บาด
Am^paa^li^aa^tatv	อัม^พะ^ลี^อา^ทัด
Amlaam	อัม^ลาม
Ammon	อัม^โมน
Amnon	อัม^โนน
Amsi	อัม^ซี
An^ndo^ni^katv	อัน^โด^นิ^คัด
An^ti^baa^di	อัน^ทิ^ปา^ตี
An^ti^baatc	อัน^ทิ^ปาด
An^ti^okc	อัน^ที^โอก
Anlon	อัน^โลน
Anlon Mbaakutv	อัน^โลน^บา^คุด
Anmon Ndipc^laa^taa^im	อัน^โมน^ดิบ^ลา^ทา^อิม
Annaa	อัน^นา
Annaatv	อัน^น้าด
Anwaan	อัน^วาน
Aqv loh	อ๊ะโล่ะ
Atc^laa^mitv^ti^yum	อัด^ลา^มิด^ทิ^ยุม
Atc^lotv Mbetc Yo^aapc	อัด^โล้ด^เบด^โย^อาบ
Atc^lotv Sofaan	อัด^โล้ด^โซ^ฟาน
Atc^notv Taa^mbo	อัด^โน้ด^ทา^โบ
Atc^si	อัด^สี
Atc^si^lie	อัด^ซี^เลีย
Atc^taa^li^yaa	อัด^ทา^ลิ^ยา
Atc^taa^lotv	อัด^ทา^โล้ด
Baa^hatc Mo^apc	ปา^หัด^โม^อับ
Baa^laa^di^yaa	ปา^ลา^ติ^ยา
Baa^se^aa	ปา^เส^อา
Baafotv	ปา^โฟ้ด
Baalaa	ปา^ลา
Baalaan	ปา^ลาน
Baalotv	ปา^โล้ด
Baasakc	ปา^สัก
Banlu	ปัน^ลู
Banti	ปัน^ที
Batc^lotv	ปัด^โล้ด
Batc^lu^simx	ปัด^ลุ^สิม
Batc^ndaan Aalam	ปัด^ดาน^อา^ลัม
Baulo	เปา^โล
Be^kaa^hi^yaa	เป^คา^หิ^ยา
Be^laa^li^yaa	เป^ลา^ลิ^ยา
Be^lu^ndaa	เป^ลุ^ดา
Be^taa^hi^yaa	เป^ทา^หิ^ยา
Be^tu^en	เป^ทุ^เอน
Begaa	เป^กา
Bekaa	เป^คา
Bekotc	เป^โขด
Belekv	เป^เล้ก
Beletv	เป^เล้ด
Beletv Utc^saa	เป^เล้ด^อุด^ซา
Belon	เป^โลน
Besie	เป^เซีย
Bi^haa^hi^lotv	ปี^หะ^หิ^โล้ด
Bi^laa^ton	ปิ^ลา^โทน
Bi^si^ndie	ปิ^สิ^เดีย
Bide	ปี^เต
Bilaatv	ปี^ล้าด
Bilatv	ปี^ลัด
Binon	ปี^โนน
Bison	ปี^โซน
Bitom	ปิ^โทม
Biton	ปิ^โทน
Bo^ti^faa	โป^ทิ^ฟา
Bo^ti^fe^laa	โป^ทิ^เฟ^ลา
Bor^si^atc	ปอ^สิ^อัด
Born^ti^atc	ปอน^ทิ^อัด
Bu^ti^en	ปู^ทิ^เอน
Bulaa	ปู^ลา
Bulim	ปู^ลิม
Bunle	ปุน^เล
Bupc^li^atc	ปุบ^ลิ^อัด
Butai	ปุ^ไท
Daa^ko^ni^ditc	ตา^โค^นิ^ติด
E^baa^fo^ndi^tatv	เอ^ปา^โฟ^ดิ^ทัด
